population,suicides/100kpop,gdp_for_year($),gdp_per_capita($),suicides_no
5499287,125.82,17986886200,3271,490
5528910,124.12,17601616000,3184,506
5560453,97.92,18447922400,3318,399
5585785,115.46000000000001,20283783700,3631,485
5618823,123.14,21386153000,3806,512
5657250,116.05999999999999,21977401900,3885,484
5696329,101.84,22585841200,3965,386
1356651,543.1899999999998,4373665146,3224,594
1342202,528.72,4746109767,3536,545
1331234,502.06,5066240419,3806,522
1321719,427.5199999999999,5617109245,4250,477
1313198,486.46999999999997,5726897998,4361,468
1334175,364.64,5685774809,4262,377
1325610,371.68000000000006,6245069734,4711,401
1316690,358.29999999999995,7322069511,5561,371
1307160,338.24000000000007,9833870709,7523,342
1297650,299.4599999999999,12059201242,9293,323
1288495,256.43,14006088297,10870,273
1278915,242.63,16963625016,13264,247
1270415,265.05,22237061730,17504,251
1264005,244.57000000000002,24194039256,19141,242
1259010,248.66999999999996,19652492637,15609,269
1254225,229.07000000000005,19490936349,15540,223
1249427,229.26,23170239901,18545,218
1251631,241.61000000000004,23043864510,18411,237
1243096,231.92000000000002,25137153149,20221,218
1241852,258.90999999999997,26224622451,21117,241
1243450,205.37999999999997,22566956982,18149,195
719459,54.95,1660102346,2307,36
723187,110.53999999999999,1842691481,2548,42
725591,16.12,2315935753,3192,10
728408,90.49000000000001,2727507213,3744,24
732607,52.83,3006725015,4104,22
737759,30.769999999999996,3102741451,4206,24
745055,20.46,3405050612,4570,13
753658,47.480000000000004,3523185920,4675,37
762403,51.67,2870624636,3765,26
776325,106.97,3774530616,4862,38
782939,91.58,3972012571,5073,32
4614100,347.35,91642093873,19861,1363
4633600,354.03999999999996,109103056148,23546,1402
4654300,373.36000000000007,119064708328,25582,1413
4675100,396.22,141517648888,30271,1512
4698500,377.5799999999999,127866490222,27214,1493
4720900,349.87,112625431378,23857,1451
4741000,333.0,89255751015,18826,1397
4761600,330.24,103321570859,21699,1387
4781300,324.96000000000004,134199346405,28068,1388
4802200,289.65,132099404608,27508,1247
4823200,310.35,126833123354,26296,1322
4844673,301.43,133936359591,27646,1228
4864255,283.10999999999996,135225868315,27800,1207
4881820,265.6499999999999,125539893127,25716,1165
4898983,267.19000000000005,129250111857,26383,1204
4915614,255.52000000000004,139552983249,28390,1095
4929856,243.45000000000002,171071106095,34701,1075
4944765,243.95,196768065557,39793,1064
4961784,230.51999999999998,204436015421,41202,994
4979740,233.79999999999998,216552502823,43487,1062
4998853,223.08000000000004,255384615385,51089,995
5020096,220.29,283742493042,56521,1033
5042316,228.48999999999998,251499027508,49878,1034
5063494,215.21,247799815768,48939,954
5085985,203.60999999999999,273674236773,53809,912
5110450,187.01,256706466091,50232,873
5135433,196.82999999999998,269980111643,52572,887
5159944,177.16000000000005,272609288690,52832,789
5181797,161.18999999999997,232464833066,44862,731
51382600,348.90000000000003,553138414367,10765,12501
51637600,351.77000000000004,771470783218,14940,12529
51900800,331.03000000000003,934173305686,17999,12161
52157600,312.7200000000001,1018847043277,19534,11599
52417900,312.53000000000003,1025211803414,19558,11715
52952900,302.7300000000001,1269179616914,23968,11403
53282900,298.1,1269276828276,23821,11502
53622300,301.47,1401465923172,26136,11644
53945400,312.69,1322815612694,24521,12251
54247100,299.94999999999993,1393982750473,25697,12041
54528500,292.61999999999995,1601094756210,29363,11819
54791600,271.21999999999997,1605675086550,29305,11279
55045500,266.33,1452884917959,26394,11139
55280700,253.65000000000003,1503108739159,27190,10534
55043393,245.83000000000004,1492647560196,27118,10268
55267624,257.23,1362248940483,24648,10849
55511272,239.94,1376465324385,24796,10449
55935517,238.63999999999996,1494286655374,26714,10643
56360402,241.30999999999997,1840480812641,32656,10871
56813922,232.50999999999996,2115742488205,37240,10804
57160687,232.09,2196126103718,38420,10713
57824447,220.62999999999997,2318593651988,40097,10423
58167011,213.69,2657213249384,45682,10127
58482967,216.20999999999998,2918382891460,49901,10353
58770727,216.24,2690222283968,45775,10499
59056283,211.17,2642609548930,44747,10379
59344643,211.18000000000004,2861408170265,48217,10408
59638457,198.97999999999996,2683825225093,45002,9743
59910069,192.33,2811077725704,46922,9600
60275954,179.56,2852165760630,47318,8881
4986400,64.42999999999999,7753501868,1555,196
5018550,53.05,6357615894,1267,174
4988700,60.47999999999999,3690328964,740,204
4518900,37.300000000000004,2513870587,556,123
4410850,40.739999999999995,2693731866,611,138
4310350,59.7,3094915506,718,162
4240600,60.650000000000006,3510540809,828,176
4209250,49.3,3613500117,858,148
4187750,68.57999999999998,2800024314,669,189
4165600,46.64000000000001,3057453483,734,130
4140950,35.19,3219487747,777,100
4089850,66.54,5125363001,1253,175
4132000,28.359999999999996,6410852596,1552,87
4166500,23.509999999999998,7745406201,1859,72
4154900,36.59000000000001,10172869680,2448,104
4158750,65.05999999999999,10766809099,2589,188
4193800,34.33,11638536834,2775,112
4202600,36.309999999999995,14434619982,3435,99
4200900,34.88,15846474596,3772,104
4192600,55.57,16140047012,3850,157
3470600,74.48999999999998,16509305828,4757,194
3458400,84.68,13993546732,4046,192
74958800,259.45,1764967948917,23546,13924
75495900,258.11,1861873895109,24662,14010
76131700,250.04000000000002,2123130870382,27888,13458
76793400,235.50000000000003,2068555542411,26937,12690
77163400,230.79,2205966011812,28588,12718
77547500,233.57999999999998,2591620035485,33420,12888
77882500,216.42000000000002,2503665193657,32147,12225
78067900,210.95999999999998,2218689375141,28420,12256
78071100,200.51000000000002,2243225519618,28733,11654
78141200,189.24000000000004,2199957383337,28154,11160
78242066,185.55000000000004,1949953934034,24922,11073
78421514,185.77999999999997,1950648769575,24874,11167
78633771,183.96000000000004,2079136081310,26441,11176
78756461,181.23999999999998,2505733634312,31816,11155
78811814,172.23,2819245095605,35772,10741
78851254,161.48999999999998,2861410272354,36289,10270
78828994,152.52,3002446368084,38088,9775
78776585,146.52,3439953462907,43667,9409
78662789,145.52000000000004,3752365607148,47702,9459
78448602,145.52000000000004,3418005001389,43570,9579
78349067,152.17000000000002,3417094562649,43614,10030
78371140,152.82,3757698281118,47947,10153
78508115,148.30999999999997,3543983909148,45142,9896
77270988,153.08,3752513503278,48563,10091
77552369,153.03999999999996,3890606893347,50167,10217
78136683,150.34,3375611100742,43201,10088
9275400,58.169999999999995,47820850975,5156,405
9334000,61.209999999999994,56379593720,6040,393
9387400,63.059999999999995,65652751132,6994,410
9450000,60.12,76261278405,8070,403
9527500,54.53,79169043642,8310,383
9617000,51.489999999999995,97891090929,10179,349
9721144,54.569999999999986,105143232380,10816,381
9834155,48.93000000000001,116224673043,11818,351
9930405,53.1,108809058859,10957,412
10018932,46.84,116601802107,11638,355
10101632,49.68,136878366230,13550,370
10178479,45.13000000000001,145861612826,14330,356
10248806,47.66,143157600025,13968,374
10310630,48.269999999999996,144428172835,14008,403
10362363,45.739999999999995,142540728958,13756,381
10403059,44.86,130133845771,12509,382
10441529,38.81000000000001,136191353468,13043,334
10482045,38.35,153830947017,14676,323
10515665,40.67,201924270316,19202,375
10547290,40.92,240521260988,22804,353
10582816,46.53,247783001865,23414,400
10618891,45.410000000000004,273317737047,25739,394
10653591,33.91,318497936901,29896,328
10686723,40.300000000000004,354460802549,33168,373
10719618,40.970000000000006,330000252153,30785,391
10735384,39.90000000000001,299361576558,27886,377
10728724,48.67999999999999,287797822093,26825,477
10539802,53.31999999999999,245670666639,23309,508
10431289,55.11,239862011450,22994,533
10380547,59.820000000000014,237029579261,22834,565
10331286,56.059999999999995,195541761243,18927,529
85375,25.08,167728444,1965,1
87300,46.800000000000004,236357519,2707,4
81805,65.09,267327630,3268,4
82000,24.75,278098778,3391,2
82400,0.0,300757889,3650,0
83528,0.0,310160444,3713,0
85304,34.21,309812185,3632,3
87036,60.82,325111815,3735,4
88433,51.95,342172519,3869,1
89772,11.96,366911444,4087,1
91415,0.0,520444185,5693,0
91908,0.0,540336926,5879,0
92567,69.18,591018407,6385,4
93202,13.37,599118593,6428,1
93685,160.82000000000002,695370296,7422,6
94126,9.89,698700667,7423,1
94418,48.339999999999996,758683593,8035,3
94585,0.0,825977889,8733,0
94746,0.0,771278111,8140,0
94980,0.0,771015889,8118,0
95102,20.73,778648667,8188,1
95426,18.009999999999998,799882148,8382,2
95876,0.0,842620111,8789,0
96393,0.0,911481481,9456,0
96892,0.0,997007926,10290,0
79012,0.0,1056188593,10838,0
6924188,42.83999999999999,7231963516,1044,203
7108740,57.919999999999995,7084399840,997,241
7300076,47.239999999999995,7841602824,1074,174
7493108,35.230000000000004,8410724361,1122,152
7683992,34.07000000000001,7650125217,996,158
7880665,33.519999999999996,9406097735,1194,156
8069672,38.25,10440842165,1294,173
8254958,31.17,11399942453,1381,165
8443914,25.9,12983235568,1538,142
8641512,34.13,14655404433,1696,211
8832326,30.049999999999997,15674835615,1775,157
9044205,26.51,17790026222,1967,179
9273529,37.059999999999995,19395491993,2091,201
9512666,36.5,18318412251,1926,234
9755585,27.419999999999995,19288827159,1977,182
10015097,30.590000000000003,18702802395,1867,202
10277166,40.529999999999994,20776669467,2022,258
10542980,37.34000000000001,21917706491,2079,253
10817808,29.929999999999996,23965275996,2215,250
11104906,32.61,27211377225,2450,238
11397134,41.95,30231249362,2653,298
11708397,40.269999999999996,34113107086,2914,327
12032885,54.760000000000005,39136893345,3252,492
12359945,57.57,37733994976,3053,511
12682151,35.43,41338595381,3260,352
13017342,34.69,47654841113,3661,359
13335425,41.800000000000004,50388454861,3779,420
13641878,40.690000000000005,53851058955,3947,455
13947190,45.88,58722323918,4210,512
14258397,44.85,63767597194,4472,494
654894,91.92000000000002,413799990,632,56
654104,184.88000000000002,379779390,581,94
653426,177.06000000000003,396582263,607,89
654620,232.84,336708419,514,105
656713,182.15,368281379,561,78
658831,116.81,442273433,671,72
660582,162.20000000000002,540874934,819,86
661682,208.72000000000003,621626786,939,99
659048,128.31,705406001,1070,60
657584,82.65000000000002,749138010,1139,40
657089,64.86,717530683,1092,35
657094,313.62,694754988,1057,163
660426,380.76,696281472,1054,197
662839,311.93,722460886,1090,176
664705,382.53999999999996,741929343,1116,198
666308,400.0,785918770,1180,186
667709,333.9600000000001,824880550,1235,169
668408,394.60000000000014,1458449453,2182,201
668788,373.74999999999994,1740334782,2602,185
669253,353.61999999999995,1922598121,2873,168
670155,301.78000000000003,2061323854,3076,156
671825,403.06999999999994,2273225042,3384,205
675283,349.5299999999999,2576024116,3815,192
679356,367.97999999999996,2861562266,4212,206
683867,356.38000000000005,2990006534,4372,210
9757766,575.0000000000001,34748508332,3561,3993
9754956,570.26,38724945368,3970,4000
9747902,539.2799999999999,40119073326,4116,3694
9740817,535.81,43160392124,4431,3625
9737248,493.4200000000001,46418916500,4767,3366
9737250,482.74,46659796773,4792,3436
9737781,470.44000000000005,47290180589,4856,3208
9734373,436.78,48770466839,5010,3245
9553064,483.88,49170434391,5147,3326
9527034,464.56,47310623887,4966,3269
9704598,408.9800000000001,53821315066,5546,2978
9680164,382.74999999999994,67716887203,6995,2839
9652533,372.0399999999999,85324771841,8840,2800
9630044,369.46999999999997,104066609518,10806,2742
9608943,352.00999999999993,113035361317,11764,2619
9591110,312.66,115295199392,12021,2461
9572938,327.32000000000005,139850794387,14609,2450
9552784,331.67999999999995,157998423132,16540,2476
9534237,310.71999999999997,130593960612,13697,2460
9514005,321.30999999999995,130922638689,13761,2489
9495011,299.85,140782064609,14827,2420
9453181,305.96,127856647108,13525,2349
9433840,266.22999999999996,135215704419,14333,2092
9412788,244.30999999999997,140118140455,14886,1925
9389519,257.2699999999999,122879042002,13087,1868
8390370,241.34,125816640421,13448,1761
220100,171.04999999999998,2939845038,13357,32
222300,215.09999999999997,3930518366,17681,37
225600,209.94,5438537482,24107,36
229200,167.98000000000002,6016168896,26249,35
232000,110.12,5588533007,24089,22
233300,180.31000000000003,6372905073,27316,40
235900,199.72999999999996,6807365898,28857,37
238000,122.89000000000001,6976080331,29311,28
240500,109.02,6126456175,25474,26
242700,125.43999999999998,6294803497,25937,25
244700,129.66,7018100153,28680,27
246500,177.35000000000002,7330965239,29740,33
248929,164.02000000000004,7548912105,30326,33
252253,141.08999999999997,8453704212,33513,30
255820,128.92,8917286036,34858,31
259723,207.99,8927140438,34372,50
263738,163.06,8136345144,30850,36
266455,131.24,9207689916,34556,30
268330,100.97000000000001,11316441660,42174,26
271588,168.81000000000003,13722824251,50528,35
274929,115.0,16691490114,60712,33
282999,106.39000000000001,17048647568,60243,32
289712,163.29000000000002,21319946740,73590,37
296836,136.09,17658408759,59489,38
296204,123.73000000000002,12944114736,43700,36
294620,184.27,13310567803,45179,46
295475,92.94999999999999,14732689535,49861,27
297238,145.41000000000003,14292008745,48083,37
300456,221.24,15548321544,51749,49
304472,197.95999999999998,17304033021,56833,44
308554,140.65,16942247374,54909,40
268773,138.07,20304098101,64708,40
3208200,102.15999999999998,21295486383,6638,276
3216700,104.88000000000002,28748960471,8937,282
3229700,95.42000000000002,33961142322,10515,245
3233500,113.24,37818134253,11696,266
3223200,110.55999999999999,39285385088,12188,278
3224000,125.68000000000002,49364681256,15312,334
3252100,126.52999999999999,49847128533,15328,345
3283400,137.87,55985506499,17051,362
3306500,117.15,52480253169,15872,326
3326000,142.82,57166037102,17188,394
3345900,143.84,69222626263,20689,403
3375800,145.54,75880632560,22478,408
3414285,156.15,82826146132,24259,466
3449415,162.17000000000002,90082034316,26115,498
3481871,141.22000000000003,98691849563,28344,424
3523376,142.36,99853528653,28340,463
3573974,148.97,109133512304,30536,488
3639573,135.82,127945379258,35154,449
3694079,134.76999999999998,164285112867,44473,454
3752679,129.42,193870350137,51662,464
3833357,121.10999999999999,211650764830,55213,451
3937578,126.46000000000001,232085535065,58941,452
4026707,121.77000000000001,269917519847,67032,458
4094192,129.55999999999997,275020023436,67173,506
4117667,132.63000000000002,236311336482,57390,527
4264857,120.30000000000001,221951354762,52042,486
4218849,138.57999999999998,239018536582,56655,554
4220806,137.66,225571853194,53443,542
4227378,117.40999999999998,239389340720,56628,487
4328043,119.67999999999999,258099014042,59634,486
3753500,112.02999999999999,27493591484,7325,234
3813500,130.28000000000003,34083532195,8938,278
3878100,133.61,40946424370,10558,271
3947300,124.16,50078767903,12687,303
4021100,170.31999999999996,49881433991,12405,353
4156100,122.25999999999999,58986997917,14193,304
4423200,139.34000000000003,67530220219,15267,359
4588900,130.95,75575902932,16469,381
4717000,137.23,75954641355,16102,371
4844900,149.89,86307135997,17814,416
4977700,127.42999999999998,100343219507,20159,360
5103700,110.50999999999999,109957321960,21545,306
5233500,126.57999999999998,114724862034,21921,379
5360200,100.11000000000001,115979230547,21637,318
5497047,102.58,117189920212,21319,368
5643291,108.56000000000002,132339311284,23451,394
5777467,108.23000000000002,130706147871,22623,398
5895508,93.49000000000001,121069378150,20536,382
6003127,97.17,126864966909,21133,417
6109931,98.43999999999998,135445033199,22168,411
6220861,102.91,142462925574,22901,425
6334485,80.52,153966916311,24306,367
6448814,73.66999999999999,178706717753,27712,326
6565602,87.33000000000003,215840354627,32874,354
6731835,80.32,207419370241,30812,404
6849825,99.47000000000001,233609522091,34104,480
6971495,87.41000000000001,261628548084,37528,409
7095360,83.78999999999998,257296579579,36263,430
7226008,74.21000000000001,292489185194,40477,372
7366252,71.26000000000002,308416982140,41869,382
7516180,65.91,299093839690,39793,342
54114700,133.4,450725816043,8329,4759
54267500,131.05,638273986102,11762,4691
54424100,125.54,803055418883,14756,4516
54579700,121.80999999999999,888667913419,16282,4381
54697200,116.63999999999997,925598068021,16922,4342
54831700,121.98,1177326294441,21472,4402
54465500,115.86999999999998,1242109397534,22805,4453
54154898,115.47999999999999,1315806985860,24297,4543
54140523,121.14000000000001,1061445225791,19605,4697
54143049,118.92999999999999,1095590833694,20235,4536
54141172,118.01000000000002,1170787352906,21625,4569
54150332,115.45000000000002,1308929351236,24172,4689
54181477,117.04000000000002,1239050932242,22869,4694
54250592,113.84000000000002,1266309245009,23342,4504
54280527,99.72,1248563179203,23002,4115
54298946,99.22,1141759996315,21027,4108
54333844,95.87,1162317852349,21392,4030
54526842,94.61,1266510634293,23227,4069
54937570,94.41999999999997,1569649661400,28572,4075
54988156,91.33000000000001,1798314750435,32704,3986
55244690,82.58999999999999,1852661982341,33536,3742
56180672,81.61000000000001,1942633797516,34578,3700
56583578,81.96000000000004,2203053380783,38935,3757
57009825,81.68999999999998,2390729163615,41935,3904
57351830,81.92999999999998,2185160183384,38101,3974
57637843,80.77000000000001,2125058244243,36869,3989
56610149,86.08,2276292404601,40210,4153
56795085,85.45,2072823157060,36497,4257
57503331,84.86,2130491320659,37050,4290
58100676,82.13000000000002,2151732868243,37035,4147
58117697,78.45,1832868490534,31537,3988
2035000,9.040000000000001,2100223150,1032,8
2052531,0.57,2754566176,1342,1
2070760,7.780000000000001,3286987552,1587,13
2090603,4.2,3828310735,1831,5
2111039,0.0,4404970059,2087,0
2131041,1.32,4592224067,2155,3
2154835,0.9,4071219198,1889,1
2367841,1.16,8985352832,3795,3
2391278,2.8000000000000003,9178016493,3838,5
2415717,0.7,9694169757,4013,2
2440426,0.9099999999999999,9399447609,3852,2
2464408,0.74,10150978155,4119,1
2487169,26.169999999999995,11204416000,4505,51
2512597,0.0,11905525197,4738,0
2568883,21.129999999999995,12038829246,4686,36
2586652,1.16,13191645686,5100,3
2601037,27.860000000000003,14439910353,5552,50
112809200,300.46999999999997,1398892744821,12401,23257
113679000,323.55,2078953333674,18288,25484
114416000,295.29,2532808573157,22137,23663
115101000,284.71999999999997,3071683013179,26687,22676
115766000,263.41999999999996,3054914166263,26389,21013
116251400,246.37,3132817652848,26949,20002
116802000,234.51,3584420077101,30688,19780
117311000,240.28000000000003,3908809463464,33320,20756
117735000,224.09999999999997,4454143876947,37832,20353
118064000,228.95000000000002,4907039384470,41563,20744
118349500,228.12999999999997,5449116304981,46043,21249
118785000,228.48000000000002,4833712542207,40693,21967
119060000,237.38,4414732843544,37080,23280
119338000,306.59999999999997,4032509760873,33791,31458
119540000,298.90000000000003,4562078822335,38164,31115
119752660,278.52000000000004,4887519660745,40813,29989
120066000,267.16,4303544259843,35843,29132
120189000,265.84,4115116279070,34239,29715
120395000,279.4099999999999,4445658071222,36926,31881
120500000,266.24999999999994,4815148854362,39960,30034
120657507,266.88999999999993,4755410630912,39412,30369
120702000,262.24,4530377224970,37534,29769
120704000,268.75999999999993,4515264514431,37408,30665
120602000,265.32,5037908465114,41773,30073
120496000,266.69,5231382674594,43415,30523
121127267,255.48,5700098114744,47059,29411
120927000,252.41000000000003,6157459594824,50919,28766
120735000,233.70000000000002,6203213121334,51379,26338
120514000,231.16000000000003,5155717056271,42781,25991
120274000,218.20999999999998,4850413536038,40328,24357
120376310,206.04,4394977752878,36510,23092
14773900,334.11999999999995,26932728899,1823,3172
14952800,318.65999999999997,24881135586,1664,3082
15150100,323.53,24906939560,1644,3356
15331400,376.49000000000007,23409027476,1527,4019
15229600,414.68000000000006,21250839258,1395,4024
14989600,454.67,20374307047,1359,4706
14487700,452.84,21035357833,1452,4773
14394600,433.7400000000001,22165932063,1540,4642
13844200,440.52000000000004,22135245413,1599,4313
13773400,407.72999999999996,16870817135,1225,3991
13772422,426.04999999999995,18291990619,1328,4428
13772696,422.48999999999995,22152694162,1608,4377
13777476,405.89,24636593223,1788,4240
13811863,411.7099999999999,30833699703,2232,4321
13873328,413.85999999999996,43151647003,3110,4394
13947770,357.80000000000007,57123671734,4096,3903
14037676,374.72999999999996,81003884545,5770,4076
14125606,375.6300000000001,104849886826,7423,4141
14216053,366.93999999999994,133441612247,9387,3997
14370635,330.07000000000005,115308661143,8024,3838
14713167,320.81000000000006,148047348241,10062,3609
14853350,293.76,192626507972,12969,3401
15023549,271.02,207998568866,13845,3240
15215382,296.67,236634552078,15552,3512
15428844,257.09,221415572820,14351,3119
15646752,238.01999999999998,184388432149,11784,2872
61855,181.54,47515189,768,10
62856,81.78,47737955,759,4
63848,204.22,46919625,735,12
64871,150.4,54832578,845,10
65923,56.71,56338028,855,2
67126,77.35000000000001,66515377,991,6
68328,76.06,67537480,988,5
69570,50.45,65334841,939,4
70938,0.0,69032258,973,0
72440,0.0,67254174,928,0
73851,0.0,63101272,854,0
1468000,11.200000000000001,21442619681,14607,17
1535300,8.74,17903681693,11661,16
1606300,11.47,22365734482,13924,16
1273600,13.009999999999998,23941391391,18798,18
1448000,18.47,24848483838,17161,30
1511100,12.74,27191689008,17995,26
1568700,18.330000000000002,31493987642,20076,30
1617500,19.939999999999998,30354434553,18766,33
1825766,16.209999999999997,25941929462,14209,35
1898700,16.82,30121879435,15864,46
1973153,15.23,37711864407,19112,34
2038530,9.129999999999999,34890772742,17116,30
2158603,14.56,38137545245,17668,45
1950622,16.44,47875838926,24544,44
1996086,17.26,59440108585,29778,45
2062968,18.18,80797945205,39166,52
2165713,15.83,101550654721,46890,45
3074918,13.02,114641097818,37283,51
3369394,11.76,147395833333,43746,47
3165654,14.810000000000002,105899930507,33453,61
3281614,10.04,115419050942,35171,39
3333698,11.409999999999998,154027536232,46203,41
3496698,15.59,174070025009,49781,56
3574090,9.879999999999999,174161142454,48729,41
3715284,15.86,162631412509,43774,68
3737300,247.07000000000002,2674000000,715,547
3796500,246.59,2570833333,677,543
3839300,221.41999999999996,2316562500,603,491
3841200,258.78999999999996,2028295455,528,563
3851100,254.30999999999997,1681006993,437,581
3905400,239.76999999999998,1661018519,425,605
3978800,206.53999999999994,1827570586,459,480
4059900,190.85,1767864036,435,496
4139700,184.94000000000003,1645963750,398,509
4298100,191.44,1249062025,291,556
4369202,182.63,1369693171,313,510
4425784,193.29999999999998,1525112242,345,560
4473163,173.10999999999999,1605640633,359,567
4520843,137.86,1919012781,424,479
4572278,141.32999999999998,2211535312,484,438
4614533,135.48000000000002,2460248026,533,470
4646475,145.99,2834168889,610,463
4668640,125.89000000000001,3802566171,814,482
4690924,135.96,5139957785,1096,473
4800134,113.28,4690062255,977,458
4837556,143.2,4794357795,991,500
4870538,126.89000000000001,6197766119,1273,471
4932360,140.66000000000003,6605139933,1339,524
5012200,109.84,7335027592,1463,446
5096430,111.79000000000002,7468096567,1465,461
5195827,98.36999999999999,6678178340,1285,417
2374700,545.6199999999999,5788368511,2438,1024
2363400,492.01000000000005,5970044666,2526,922
2354700,492.56999999999994,6525676264,2771,886
2344100,441.8400000000001,7174985107,3061,839
2333400,420.40999999999997,7533187605,3228,763
2272107,453.2,7937758980,3494,770
2242227,383.49000000000007,8350252966,3724,708
2214484,367.76,9546441564,4311,670
2190211,361.63000000000005,11748433157,5364,604
2163477,328.38,14373269156,6644,563
2137831,312.06,16922504045,7916,564
2115215,288.9,21447021570,10139,487
2093878,295.75000000000006,30901399261,14758,453
2067529,323.68999999999994,35596016664,17217,527
2030316,307.7999999999999,26169854045,12890,516
1987906,259.34000000000003,23757368290,11951,438
1953611,288.75,28223552825,14447,440
1931521,267.67999999999995,28119996053,14558,444
1912464,242.19000000000003,30254677297,15820,383
1894041,248.81000000000003,31335013752,16544,382
1875522,251.47000000000006,26972863394,14382,387
3387149,639.3,7870782261,2324,1694
3375163,595.61,8385109020,2484,1722
3364273,565.4400000000002,10120274493,3008,1632
3350973,566.36,11240360898,3354,1553
3333452,561.5300000000001,10972878636,3292,1550
3315125,571.8,11539211480,3481,1631
3294138,568.9799999999999,12252498921,3719,1533
3274488,555.6199999999998,14278357284,4360,1551
3254127,530.5200000000001,18802576988,5778,1455
3222969,503.36999999999995,22649930576,7028,1380
3174728,485.78999999999996,26125575942,8229,1319
3125767,400.57,30216060233,9667,1049
3087867,406.79,39738180077,12869,1025
3053756,430.05,47850551149,15669,1111
3016497,437.07000000000005,37440673478,12412,1138
2949737,395.23999999999995,37120517694,12584,1018
2879805,407.69,43476873413,15097,1018
2837770,374.12,42848195256,15099,927
2806627,444.56000000000006,46417340375,16538,1085
2781577,401.2700000000001,48516371721,17442,930
2753926,385.48,41508609233,15073,896
2445296,361.71999999999997,42773029835,15742,822
344800,247.39,4738559685,13743,55
346000,183.05,6921264132,20004,51
349400,243.24,8614215559,24654,74
352300,211.50000000000003,9750161053,27676,69
355400,261.32000000000005,10391504709,29239,73
358800,233.33999999999997,13229247948,36871,68
362900,280.83000000000004,14321878795,39465,77
367300,228.37000000000003,16065740778,43740,59
372000,207.95999999999998,16486900187,44320,64
377000,277.24000000000007,18325791415,48610,74
382100,210.08,21588170498,56499,63
387700,229.25000000000006,21776609772,56169,72
392600,307.59999999999997,19731912494,50260,81
397915,201.25000000000003,20209122027,50788,64
403890,211.99000000000004,22235929043,55054,70
410164,222.64,21263514833,51841,62
413930,239.82,21272418792,51391,73
418106,264.14,23616328816,56484,85
423654,164.36999999999998,29557325056,69768,48
430128,189.53999999999996,34685281848,80639,62
437338,159.07000000000002,37347394603,85397,49
444821,183.79000000000005,42414308117,95351,65
452012,183.88999999999996,50888134410,112581,78
460371,112.30999999999999,55849686539,121315,43
469209,110.94999999999999,51370543206,109483,48
477979,141.16,53212476812,111328,54
488918,136.52999999999997,60004630234,122729,55
501044,140.18,56677961787,113120,51
512689,91.47999999999999,61739352212,120423,40
524940,147.88,66327344189,126352,67
537748,134.39999999999998,57784495265,107456,64
346542,171.74000000000004,6265844252,18081,27
247387,0.0,624337145,2524,0
255503,110.49,870179739,3406,3
263747,9.84,897031250,3401,3
272110,15.52,1052121055,3867,4
280526,3.74,1226829563,4373,1
288936,2.75,1163362438,4026,1
305536,14.360000000000001,1868383461,6115,5
313924,0.0,2271646188,7236,0
331559,1.99,2588176055,7806,1
341018,5.39,2774351760,8135,2
307200,8.76,1117835286,3639,2
315800,3.61,1435079200,4544,1
317400,18.87,1751247763,5517,1
320800,28.61,2019474244,6295,9
324000,89.96000000000002,2118574772,6539,23
327400,23.75,2547163582,7780,8
330800,30.340000000000003,2750041434,8313,10
334300,87.13999999999999,3021910217,9040,18
337700,47.540000000000006,2709178327,8022,16
341700,64.69,2998570147,8775,15
344900,47.02,3439931907,9974,17
348200,47.43000000000001,3570271558,10254,10
350400,70.67999999999999,3705372039,10575,15
353400,30.63,3923637971,11103,12
355600,91.76,4127313818,11607,27
362676,78.05,4306192436,11873,23
370541,85.29,4331870648,11691,30
374456,55.28,4689832690,12524,19
377785,74.94,5456583589,14444,20
380918,85.82,6062780269,15916,24
384111,67.94,6394851387,16648,19
386038,87.21000000000001,6757119558,17504,26
387581,73.84,7880509171,20333,26
390195,38.67999999999999,8977149553,23007,14
393102,107.11999999999999,8528202278,21695,36
394949,82.10999999999999,8741059603,22132,31
396423,47.49999999999999,9507645260,23984,20
399138,59.87,9209559296,23074,25
402728,57.22,10145114180,25191,22
406525,102.07999999999997,11234045376,27634,32
410637,78.26999999999998,10574026838,25750,34
883400,143.13,1080642033,1223,104
898100,30.070000000000004,1469046115,1636,28
911300,171.93999999999997,1888754655,2073,140
925000,246.10999999999999,2143484488,2317,167
932900,211.64000000000007,2191096860,2349,144
941100,163.17999999999998,2653480001,2820,147
938100,196.79000000000002,2856890681,3045,137
948300,198.99,3224267548,3400,146
958300,174.99000000000004,3263368410,3405,138
972800,154.65,3558137040,3658,129
981900,182.65,4040345933,4115,147
995000,166.14,4421943910,4444,153
1011700,143.57,4187367602,4139,122
1026300,154.76999999999998,4169664285,4063,155
1042400,186.04000000000002,4291172816,4117,174
1056073,140.82000000000002,4582555125,4339,137
1068947,121.83999999999999,4536538211,4244,113
1079755,131.89999999999998,4767303154,4415,131
1092234,94.02,5609831328,5136,88
1103091,100.99,6385695187,5789,97
1113942,102.51,6283803256,5641,102
1125301,163.68,7028803366,6246,118
1135233,141.45,8150138757,7179,127
1146258,78.13,9990370016,8716,84
1159551,106.07000000000001,9128843109,7873,115
1164931,111.83000000000001,10003670690,8587,98
1173352,120.03999999999996,11518393367,9817,118
1180547,114.25,11668685524,9884,115
1147390,97.67,12129642296,10572,98
1151424,115.45,12803445934,11120,120
